* #variable= 3318 #constraint= 6983
+1 ~x119 +1 x72 >= 1;
+1 ~x120 +1 x72 >= 1;
+1 ~x121 +1 x72 >= 1;
+1 ~x122 +1 x72 >= 1;
+1 ~x123 +1 x72 >= 1;
+1 ~x124 +1 x72 >= 1;
+1 ~x125 +1 x71 >= 1;
+1 ~x126 +1 x71 >= 1;
+1 ~x127 +1 x71 >= 1;
+1 ~x128 +1 x71 >= 1;
+1 ~x129 +1 x71 >= 1;
+1 ~x130 +1 x71 >= 1;
+1 ~x131 +1 x81 >= 1;
+1 ~x131 +1 x76 >= 1;
+1 ~x132 +1 x81 >= 1;
+1 ~x132 +1 x71 >= 1;
+1 ~x133 +1 x68 >= 1;
+1 ~x133 +1 x82 >= 1;
+1 ~x134 +1 x65 >= 1;
+1 ~x134 +1 x81 >= 1;
+1 ~x135 +1 x80 >= 1;
+1 ~x136 +1 x80 >= 1;
+1 ~x137 +1 x80 >= 1;
+1 ~x138 +1 x80 >= 1;
+1 ~x139 +1 x80 >= 1;
+1 ~x140 +1 x80 >= 1;
+1 ~x141 +1 x79 >= 1;
+1 ~x142 +1 x79 >= 1;
+1 ~x143 +1 x79 >= 1;
+1 ~x144 +1 x79 >= 1;
+1 ~x145 +1 x79 >= 1;
+1 ~x146 +1 x79 >= 1;
+1 ~x147 +1 x83 >= 1;
+1 ~x148 +1 x83 >= 1;
+1 ~x149 +1 x83 >= 1;
+1 ~x150 +1 x83 >= 1;
+1 ~x151 +1 x83 >= 1;
+1 ~x152 +1 x83 >= 1;
+1 ~x153 +1 x75 >= 1;
+1 ~x154 +1 x75 >= 1;
+1 ~x155 +1 x75 >= 1;
+1 ~x156 +1 x75 >= 1;
+1 ~x157 +1 x75 >= 1;
+1 ~x158 +1 x75 >= 1;
+1 ~x159 +1 x74 >= 1;
+1 ~x160 +1 x74 >= 1;
+1 ~x161 +1 x74 >= 1;
+1 ~x162 +1 x74 >= 1;
+1 ~x163 +1 x74 >= 1;
+1 ~x164 +1 x74 >= 1;
+1 ~x165 +1 x84 >= 1;
+1 ~x166 +1 x84 >= 1;
+1 ~x167 +1 x84 >= 1;
+1 ~x168 +1 x84 >= 1;
+1 ~x169 +1 x84 >= 1;
+1 ~x170 +1 x84 >= 1;
+1 ~x171 +1 x70 >= 1;
+1 ~x172 +1 x70 >= 1;
+1 ~x173 +1 x85 >= 1;
+1 ~x174 +1 x85 >= 1;
+1 ~x175 +1 x69 >= 1;
+1 ~x176 +1 x69 >= 1;
+1 ~x177 +1 x86 >= 1;
+1 ~x178 +1 x86 >= 1;
+1 ~x179 +1 x68 >= 1;
+1 ~x180 +1 x68 >= 1;
+1 ~x181 +1 x87 >= 1;
+1 ~x182 +1 x87 >= 1;
+1 ~x183 +1 x67 >= 1;
+1 ~x184 +1 x67 >= 1;
+1 ~x185 +1 x88 >= 1;
+1 ~x186 +1 x88 >= 1;
+1 ~x187 +1 x66 >= 1;
+1 ~x188 +1 x66 >= 1;
+1 ~x189 +1 x89 >= 1;
+1 ~x190 +1 x89 >= 1;
+1 ~x191 +1 x65 >= 1;
+1 ~x192 +1 x65 >= 1;
+1 ~x193 +1 x90 >= 1;
+1 ~x194 +1 x90 >= 1;
+1 ~x195 +1 x64 >= 1;
+1 ~x195 +1 x83 >= 1;
+1 ~x196 +1 x63 >= 1;
+1 ~x196 +1 x84 >= 1;
+1 ~x197 +1 x88 >= 1;
+1 ~x197 +1 x62 >= 1;
+1 ~x198 +1 x90 >= 1;
+1 ~x198 +1 x61 >= 1;
+1 ~x199 +1 x90 >= 1;
+1 ~x199 +1 x60 >= 1;
+1 ~x200 +1 x89 >= 1;
+1 ~x200 +1 x59 >= 1;
+1 ~x201 +1 x82 >= 1;
+1 ~x201 +1 x83 >= 1;
+1 ~x202 +1 x82 >= 1;
+1 ~x202 +1 x84 >= 1;
+1 ~x203 +1 x88 >= 1;
+1 ~x203 +1 x91 >= 1;
+1 ~x204 +1 x90 >= 1;
+1 ~x204 +1 x92 >= 1;
+1 ~x205 +1 x90 >= 1;
+1 ~x205 +1 x93 >= 1;
+1 ~x206 +1 x89 >= 1;
+1 ~x206 +1 x94 >= 1;
+1 ~x207 +1 x59 >= 1;
+1 ~x208 +1 x60 >= 1;
+1 ~x209 +1 x61 >= 1;
+1 ~x210 +1 x62 >= 1;
+1 ~x211 +1 x63 >= 1;
+1 ~x212 +1 x64 >= 1;
+1 ~x213 +1 x65 >= 1;
+1 ~x214 +1 x66 >= 1;
+1 ~x215 +1 x67 >= 1;
+1 ~x216 +1 x68 >= 1;
+1 ~x217 +1 x69 >= 1;
+1 ~x218 +1 x70 >= 1;
+1 ~x219 +1 x71 >= 1;
+1 ~x220 +1 x72 >= 1;
+1 ~x221 +1 x73 >= 1;
+1 ~x222 +1 x74 >= 1;
+1 ~x223 +1 x75 >= 1;
+1 ~x224 +1 x76 >= 1;
+1 ~x225 +1 x77 >= 1;
+1 ~x226 +1 x78 >= 1;
+1 ~x227 +1 x79 >= 1;
+1 ~x228 +1 x80 >= 1;
+1 ~x229 +1 x81 >= 1;
+1 ~x230 +1 x82 >= 1;
+1 ~x231 +1 x83 >= 1;
+1 ~x232 +1 x84 >= 1;
+1 ~x233 +1 x85 >= 1;
+1 ~x234 +1 x86 >= 1;
+1 ~x235 +1 x87 >= 1;
+1 ~x236 +1 x88 >= 1;
+1 ~x237 +1 x89 >= 1;
+1 ~x238 +1 x90 >= 1;
+1 ~x239 +1 x91 >= 1;
+1 ~x240 +1 x92 >= 1;
+1 ~x241 +1 x93 >= 1;
+1 ~x242 +1 x94 >= 1;
+1 ~x243 +1 x206 +1 x207 >= 1;
+1 ~x244 +1 x205 +1 x208 >= 1;
+1 ~x245 +1 x204 +1 x209 >= 1;
+1 ~x246 +1 x203 +1 x210 >= 1;
+1 ~x247 +1 x202 +1 x211 >= 1;
+1 ~x248 +1 x201 +1 x212 >= 1;
+1 ~x249 +1 x191 +1 x193 +1 x213 >= 1;
+1 ~x250 +1 x187 +1 x189 +1 x214 >= 1;
+1 ~x251 +1 x183 +1 x185 +1 x215 >= 1;
+1 ~x252 +1 x179 +1 x181 +1 x216 >= 1;
+1 ~x253 +1 x175 +1 x177 +1 x217 >= 1;
+1 ~x254 +1 x171 +1 x173 +1 x218 >= 1;
+1 ~x255 +1 x118 +1 x124 +1 x130 +1 x158 +1 x164 +1 x170 +1 x219 >= 1;
+1 ~x256 +1 x117 +1 x123 +1 x129 +1 x157 +1 x163 +1 x169 +1 x220 >= 1;
+1 ~x257 +1 x116 +1 x122 +1 x128 +1 x156 +1 x162 +1 x168 +1 x221 >= 1;
+1 ~x258 +1 x114 +1 x120 +1 x126 +1 x154 +1 x160 +1 x166 +1 x222 >= 1;
+1 ~x259 +1 x113 +1 x119 +1 x125 +1 x153 +1 x159 +1 x165 +1 x223 >= 1;
+1 ~x260 +1 x100 +1 x106 +1 x112 +1 x140 +1 x146 +1 x152 +1 x224 >= 1;
+1 ~x261 +1 x99 +1 x105 +1 x111 +1 x139 +1 x145 +1 x151 +1 x225 >= 1;
+1 ~x262 +1 x98 +1 x104 +1 x110 +1 x138 +1 x144 +1 x150 +1 x226 >= 1;
+1 ~x263 +1 x96 +1 x102 +1 x108 +1 x136 +1 x142 +1 x148 +1 x227 >= 1;
+1 ~x264 +1 x95 +1 x101 +1 x107 +1 x135 +1 x141 +1 x147 +1 x228 >= 1;
+1 ~x265 +1 x134 >= 1;
+1 ~x266 +1 x133 >= 1;
+1 ~x267 +1 x132 >= 1;
+1 ~x268 +1 x131 >= 1;
+1 ~x269 +1 x229 >= 1;
+1 ~x270 +1 x195 +1 x196 +1 x230 >= 1;
+1 ~x271 +1 x97 +1 x103 +1 x109 +1 x137 +1 x143 +1 x149 +1 x231 >= 1;
+1 ~x272 +1 x115 +1 x121 +1 x127 +1 x155 +1 x161 +1 x167 +1 x232 >= 1;
+1 ~x273 +1 x172 +1 x174 +1 x233 >= 1;
+1 ~x274 +1 x176 +1 x178 +1 x234 >= 1;
+1 ~x275 +1 x180 +1 x182 +1 x235 >= 1;
+1 ~x276 +1 x184 +1 x186 +1 x236 >= 1;
+1 ~x277 +1 x188 +1 x190 +1 x237 >= 1;
+1 ~x278 +1 x192 +1 x194 +1 x238 >= 1;
+1 ~x279 +1 x197 +1 x239 >= 1;
+1 ~x280 +1 x198 +1 x240 >= 1;
+1 ~x281 +1 x199 +1 x241 >= 1;
+1 ~x282 +1 x200 +1 x242 >= 1;
+1 ~x283 +1 x262 >= 1;
+1 ~x284 +1 x262 >= 1;
+1 ~x285 +1 x262 >= 1;
+1 ~x286 +1 x262 >= 1;
+1 ~x287 +1 x262 >= 1;
+1 ~x288 +1 x262 >= 1;
+1 ~x289 +1 x261 >= 1;
+1 ~x290 +1 x261 >= 1;
+1 ~x291 +1 x261 >= 1;
+1 ~x292 +1 x261 >= 1;
+1 ~x293 +1 x261 >= 1;
+1 ~x294 +1 x261 >= 1;
+1 ~x295 +1 x260 >= 1;
+1 ~x296 +1 x260 >= 1;
+1 ~x297 +1 x260 >= 1;
+1 ~x298 +1 x260 >= 1;
+1 ~x299 +1 x260 >= 1;
+1 ~x300 +1 x260 >= 1;
+1 ~x301 +1 x257 >= 1;
+1 ~x302 +1 x257 >= 1;
+1 ~x303 +1 x257 >= 1;
+1 ~x304 +1 x257 >= 1;
+1 ~x305 +1 x257 >= 1;
+1 ~x306 +1 x257 >= 1;
+1 ~x307 +1 x256 >= 1;
+1 ~x308 +1 x256 >= 1;
+1 ~x309 +1 x256 >= 1;
+1 ~x310 +1 x256 >= 1;
+1 ~x311 +1 x256 >= 1;
+1 ~x312 +1 x256 >= 1;
+1 ~x313 +1 x255 >= 1;
+1 ~x314 +1 x255 >= 1;
+1 ~x315 +1 x255 >= 1;
+1 ~x316 +1 x255 >= 1;
+1 ~x317 +1 x255 >= 1;
+1 ~x318 +1 x255 >= 1;
+1 ~x319 +1 x248 >= 1;
+1 ~x319 +1 x264 >= 1;
+1 ~x320 +1 x248 >= 1;
+1 ~x320 +1 x263 >= 1;
+1 ~x321 +1 x248 >= 1;
+1 ~x321 +1 x262 >= 1;
+1 ~x322 +1 x248 >= 1;
+1 ~x322 +1 x261 >= 1;
+1 ~x323 +1 x248 >= 1;
+1 ~x323 +1 x260 >= 1;
+1 ~x324 +1 x247 >= 1;
+1 ~x324 +1 x259 >= 1;
+1 ~x325 +1 x247 >= 1;
+1 ~x325 +1 x258 >= 1;
+1 ~x326 +1 x247 >= 1;
+1 ~x326 +1 x257 >= 1;
+1 ~x327 +1 x247 >= 1;
+1 ~x327 +1 x256 >= 1;
+1 ~x328 +1 x247 >= 1;
+1 ~x328 +1 x255 >= 1;
+1 ~x329 +1 x268 >= 1;
+1 ~x329 +1 x260 >= 1;
+1 ~x330 +1 x267 >= 1;
+1 ~x330 +1 x255 >= 1;
+1 ~x331 +1 x251 >= 1;
+1 ~x331 +1 x246 >= 1;
+1 ~x332 +1 x252 >= 1;
+1 ~x332 +1 x266 >= 1;
+1 ~x333 +1 x249 >= 1;
+1 ~x333 +1 x245 >= 1;
+1 ~x334 +1 x249 >= 1;
+1 ~x334 +1 x244 >= 1;
+1 ~x335 +1 x249 >= 1;
+1 ~x335 +1 x265 >= 1;
+1 ~x336 +1 x250 >= 1;
+1 ~x336 +1 x243 >= 1;
+1 ~x337 +1 x269 >= 1;
+1 ~x337 +1 x260 >= 1;
+1 ~x338 +1 x269 >= 1;
+1 ~x338 +1 x255 >= 1;
+1 ~x339 +1 x252 >= 1;
+1 ~x339 +1 x270 >= 1;
+1 ~x340 +1 x249 >= 1;
+1 ~x340 +1 x269 >= 1;
+1 ~x341 +1 x264 >= 1;
+1 ~x342 +1 x264 >= 1;
+1 ~x343 +1 x264 >= 1;
+1 ~x344 +1 x264 >= 1;
+1 ~x345 +1 x264 >= 1;
+1 ~x346 +1 x264 >= 1;
+1 ~x347 +1 x263 >= 1;
+1 ~x348 +1 x263 >= 1;
+1 ~x349 +1 x263 >= 1;
+1 ~x350 +1 x263 >= 1;
+1 ~x351 +1 x263 >= 1;
+1 ~x352 +1 x263 >= 1;
+1 ~x353 +1 x271 >= 1;
+1 ~x354 +1 x271 >= 1;
+1 ~x355 +1 x271 >= 1;
+1 ~x356 +1 x271 >= 1;
+1 ~x357 +1 x271 >= 1;
+1 ~x358 +1 x271 >= 1;
+1 ~x359 +1 x259 >= 1;
+1 ~x360 +1 x259 >= 1;
+1 ~x361 +1 x259 >= 1;
+1 ~x362 +1 x259 >= 1;
+1 ~x363 +1 x259 >= 1;
+1 ~x364 +1 x259 >= 1;
+1 ~x365 +1 x258 >= 1;
+1 ~x366 +1 x258 >= 1;
+1 ~x367 +1 x258 >= 1;
+1 ~x368 +1 x258 >= 1;
+1 ~x369 +1 x258 >= 1;
+1 ~x370 +1 x258 >= 1;
+1 ~x371 +1 x272 >= 1;
+1 ~x372 +1 x272 >= 1;
+1 ~x373 +1 x272 >= 1;
+1 ~x374 +1 x272 >= 1;
+1 ~x375 +1 x272 >= 1;
+1 ~x376 +1 x272 >= 1;
+1 ~x377 +1 x254 >= 1;
+1 ~x378 +1 x254 >= 1;
+1 ~x379 +1 x273 >= 1;
+1 ~x380 +1 x273 >= 1;
+1 ~x381 +1 x253 >= 1;
+1 ~x382 +1 x253 >= 1;
+1 ~x383 +1 x274 >= 1;
+1 ~x384 +1 x274 >= 1;
+1 ~x385 +1 x252 >= 1;
+1 ~x386 +1 x252 >= 1;
+1 ~x387 +1 x275 >= 1;
+1 ~x388 +1 x275 >= 1;
+1 ~x389 +1 x251 >= 1;
+1 ~x390 +1 x251 >= 1;
+1 ~x391 +1 x276 >= 1;
+1 ~x392 +1 x276 >= 1;
+1 ~x393 +1 x250 >= 1;
+1 ~x394 +1 x250 >= 1;
+1 ~x395 +1 x277 >= 1;
+1 ~x396 +1 x277 >= 1;
+1 ~x397 +1 x249 >= 1;
+1 ~x398 +1 x249 >= 1;
+1 ~x399 +1 x278 >= 1;
+1 ~x400 +1 x278 >= 1;
+1 ~x401 +1 x248 >= 1;
+1 ~x401 +1 x271 >= 1;
+1 ~x402 +1 x247 >= 1;
+1 ~x402 +1 x272 >= 1;
+1 ~x403 +1 x276 >= 1;
+1 ~x403 +1 x246 >= 1;
+1 ~x404 +1 x278 >= 1;
+1 ~x404 +1 x245 >= 1;
+1 ~x405 +1 x278 >= 1;
+1 ~x405 +1 x244 >= 1;
+1 ~x406 +1 x277 >= 1;
+1 ~x406 +1 x243 >= 1;
+1 ~x407 +1 x270 >= 1;
+1 ~x407 +1 x271 >= 1;
+1 ~x408 +1 x270 >= 1;
+1 ~x408 +1 x272 >= 1;
+1 ~x409 +1 x276 >= 1;
+1 ~x409 +1 x279 >= 1;
+1 ~x410 +1 x278 >= 1;
+1 ~x410 +1 x280 >= 1;
+1 ~x411 +1 x278 >= 1;
+1 ~x411 +1 x281 >= 1;
+1 ~x412 +1 x277 >= 1;
+1 ~x412 +1 x282 >= 1;
+1 ~x413 +1 x243 >= 1;
+1 ~x414 +1 x244 >= 1;
+1 ~x415 +1 x245 >= 1;
+1 ~x416 +1 x246 >= 1;
+1 ~x417 +1 x247 >= 1;
+1 ~x418 +1 x248 >= 1;
+1 ~x419 +1 x249 >= 1;
+1 ~x420 +1 x250 >= 1;
+1 ~x421 +1 x251 >= 1;
+1 ~x422 +1 x252 >= 1;
+1 ~x423 +1 x253 >= 1;
+1 ~x424 +1 x254 >= 1;
+1 ~x425 +1 x255 >= 1;
+1 ~x426 +1 x256 >= 1;
+1 ~x427 +1 x257 >= 1;
+1 ~x428 +1 x258 >= 1;
+1 ~x429 +1 x259 >= 1;
+1 ~x430 +1 x260 >= 1;
+1 ~x431 +1 x261 >= 1;
+1 ~x432 +1 x262 >= 1;
+1 ~x433 +1 x263 >= 1;
+1 ~x434 +1 x264 >= 1;
+1 ~x435 +1 x265 >= 1;
+1 ~x436 +1 x266 >= 1;
+1 ~x437 +1 x267 >= 1;
+1 ~x438 +1 x268 >= 1;
+1 ~x439 +1 x269 >= 1;
+1 ~x440 +1 x270 >= 1;
+1 ~x441 +1 x271 >= 1;
+1 ~x442 +1 x272 >= 1;
+1 ~x443 +1 x273 >= 1;
+1 ~x444 +1 x274 >= 1;
+1 ~x445 +1 x275 >= 1;
+1 ~x446 +1 x276 >= 1;
+1 ~x447 +1 x277 >= 1;
+1 ~x448 +1 x278 >= 1;
+1 ~x449 +1 x279 >= 1;
+1 ~x450 +1 x280 >= 1;
+1 ~x451 +1 x281 >= 1;
+1 ~x452 +1 x282 >= 1;
+1 ~x453 +1 x412 +1 x413 >= 1;
+1 ~x454 +1 x411 +1 x414 >= 1;
+1 ~x455 +1 x410 +1 x415 >= 1;
+1 ~x456 +1 x409 +1 x416 >= 1;
+1 ~x457 +1 x408 +1 x417 >= 1;
+1 ~x458 +1 x407 +1 x418 >= 1;
+1 ~x459 +1 x397 +1 x399 +1 x419 >= 1;
+1 ~x460 +1 x393 +1 x395 +1 x420 >= 1;
+1 ~x461 +1 x389 +1 x391 +1 x421 >= 1;
+1 ~x462 +1 x385 +1 x387 +1 x422 >= 1;
+1 ~x463 +1 x381 +1 x383 +1 x423 >= 1;
+1 ~x464 +1 x377 +1 x379 +1 x424 >= 1;
+1 ~x465 +1 x306 +1 x312 +1 x318 +1 x364 +1 x370 +1 x376 +1 x425 >= 1;
+1 ~x466 +1 x305 +1 x311 +1 x317 +1 x363 +1 x369 +1 x375 +1 x426 >= 1;
+1 ~x467 +1 x304 +1 x310 +1 x316 +1 x362 +1 x368 +1 x374 +1 x427 >= 1;
+1 ~x468 +1 x302 +1 x308 +1 x314 +1 x360 +1 x366 +1 x372 +1 x428 >= 1;
+1 ~x469 +1 x301 +1 x307 +1 x313 +1 x359 +1 x365 +1 x371 +1 x429 >= 1;
+1 ~x470 +1 x288 +1 x294 +1 x300 +1 x346 +1 x352 +1 x358 +1 x430 >= 1;
+1 ~x471 +1 x287 +1 x293 +1 x299 +1 x345 +1 x351 +1 x357 +1 x431 >= 1;
+1 ~x472 +1 x286 +1 x292 +1 x298 +1 x344 +1 x350 +1 x356 +1 x432 >= 1;
+1 ~x473 +1 x284 +1 x290 +1 x296 +1 x342 +1 x348 +1 x354 +1 x433 >= 1;
+1 ~x474 +1 x283 +1 x289 +1 x295 +1 x341 +1 x347 +1 x353 +1 x434 >= 1;
+1 ~x475 +1 x340 +1 x435 >= 1;
+1 ~x476 +1 x339 +1 x436 >= 1;
+1 ~x477 +1 x338 +1 x437 >= 1;
+1 ~x478 +1 x337 +1 x438 >= 1;
+1 ~x479 +1 x336 >= 1;
+1 ~x480 +1 x334 >= 1;
+1 ~x481 +1 x333 >= 1;
+1 ~x482 +1 x331 >= 1;
+1 ~x483 +1 x323 +1 x328 >= 1;
+1 ~x484 +1 x322 +1 x327 >= 1;
+1 ~x485 +1 x321 +1 x326 >= 1;
+1 ~x486 +1 x320 +1 x325 >= 1;
+1 ~x487 +1 x319 +1 x324 >= 1;
+1 ~x488 +1 x329 +1 x330 +1 x335 +1 x439 >= 1;
+1 ~x489 +1 x332 +1 x401 +1 x402 +1 x440 >= 1;
+1 ~x490 +1 x285 +1 x291 +1 x297 +1 x343 +1 x349 +1 x355 +1 x441 >= 1;
+1 ~x491 +1 x303 +1 x309 +1 x315 +1 x361 +1 x367 +1 x373 +1 x442 >= 1;
+1 ~x492 +1 x378 +1 x380 +1 x443 >= 1;
+1 ~x493 +1 x382 +1 x384 +1 x444 >= 1;
+1 ~x494 +1 x386 +1 x388 +1 x445 >= 1;
+1 ~x495 +1 x390 +1 x392 +1 x446 >= 1;
+1 ~x496 +1 x394 +1 x396 +1 x447 >= 1;
+1 ~x497 +1 x398 +1 x400 +1 x448 >= 1;
+1 ~x498 +1 x403 +1 x449 >= 1;
+1 ~x499 +1 x404 +1 x450 >= 1;
+1 ~x500 +1 x405 +1 x451 >= 1;
+1 ~x501 +1 x406 +1 x452 >= 1;
+1 ~x502 +1 x482 >= 1;
+1 ~x502 +1 x472 >= 1;
+1 ~x503 +1 x482 >= 1;
+1 ~x503 +1 x467 >= 1;
+1 ~x504 +1 x487 >= 1;
+1 ~x504 +1 x474 >= 1;
+1 ~x505 +1 x486 >= 1;
+1 ~x505 +1 x473 >= 1;
+1 ~x506 +1 x485 >= 1;
+1 ~x506 +1 x472 >= 1;
+1 ~x507 +1 x484 >= 1;
+1 ~x507 +1 x471 >= 1;
+1 ~x508 +1 x483 >= 1;
+1 ~x508 +1 x470 >= 1;
+1 ~x509 +1 x487 >= 1;
+1 ~x509 +1 x469 >= 1;
+1 ~x510 +1 x486 >= 1;
+1 ~x510 +1 x468 >= 1;
+1 ~x511 +1 x485 >= 1;
+1 ~x511 +1 x467 >= 1;
+1 ~x512 +1 x484 >= 1;
+1 ~x512 +1 x466 >= 1;
+1 ~x513 +1 x483 >= 1;
+1 ~x513 +1 x465 >= 1;
+1 ~x514 +1 x481 >= 1;
+1 ~x514 +1 x470 >= 1;
+1 ~x515 +1 x481 >= 1;
+1 ~x515 +1 x465 >= 1;
+1 ~x516 +1 x480 >= 1;
+1 ~x516 +1 x470 >= 1;
+1 ~x517 +1 x480 >= 1;
+1 ~x517 +1 x465 >= 1;
+1 ~x518 +1 x479 >= 1;
+1 ~x518 +1 x471 >= 1;
+1 ~x519 +1 x479 >= 1;
+1 ~x519 +1 x466 >= 1;
+1 ~x520 +1 x461 >= 1;
+1 ~x520 +1 x482 >= 1;
+1 ~x521 +1 x464 >= 1;
+1 ~x521 +1 x487 >= 1;
+1 ~x522 +1 x463 >= 1;
+1 ~x522 +1 x486 >= 1;
+1 ~x523 +1 x461 >= 1;
+1 ~x523 +1 x485 >= 1;
+1 ~x524 +1 x460 >= 1;
+1 ~x524 +1 x484 >= 1;
+1 ~x525 +1 x459 >= 1;
+1 ~x525 +1 x483 >= 1;
+1 ~x526 +1 x459 >= 1;
+1 ~x526 +1 x481 >= 1;
+1 ~x527 +1 x459 >= 1;
+1 ~x527 +1 x480 >= 1;
+1 ~x528 +1 x460 >= 1;
+1 ~x528 +1 x479 >= 1;
+1 ~x529 +1 x472 >= 1;
+1 ~x530 +1 x472 >= 1;
+1 ~x531 +1 x472 >= 1;
+1 ~x532 +1 x472 >= 1;
+1 ~x533 +1 x472 >= 1;
+1 ~x534 +1 x472 >= 1;
+1 ~x535 +1 x471 >= 1;
+1 ~x536 +1 x471 >= 1;
+1 ~x537 +1 x471 >= 1;
+1 ~x538 +1 x471 >= 1;
+1 ~x539 +1 x471 >= 1;
+1 ~x540 +1 x471 >= 1;
+1 ~x541 +1 x470 >= 1;
+1 ~x542 +1 x470 >= 1;
+1 ~x543 +1 x470 >= 1;
+1 ~x544 +1 x470 >= 1;
+1 ~x545 +1 x470 >= 1;
+1 ~x546 +1 x470 >= 1;
+1 ~x547 +1 x467 >= 1;
+1 ~x548 +1 x467 >= 1;
+1 ~x549 +1 x467 >= 1;
+1 ~x550 +1 x467 >= 1;
+1 ~x551 +1 x467 >= 1;
+1 ~x552 +1 x467 >= 1;
+1 ~x553 +1 x466 >= 1;
+1 ~x554 +1 x466 >= 1;
+1 ~x555 +1 x466 >= 1;
+1 ~x556 +1 x466 >= 1;
+1 ~x557 +1 x466 >= 1;
+1 ~x558 +1 x466 >= 1;
